sentence_id,words,labels
1,оказать,O
1,содействие,O
1,в,O
1,заключении,O
1,договора,B-OBJECT
1,аренды,I-OBJECT
1,земли,I-OBJECT
2,жалоба,O
2,на,O
2,Росреестр,B-ORGANIZATION
2,игнорирующий,O
2,решения,O
2,суда,B-SUBJECT
3,об,O
3,оказании,O
3,содействия,O
3,в,O
3,оформлении,B-OBJECT
3,земельно-правовых,B-OBJECT
3,отношений,O
3,на,B-SUBJECT
3,земельный,I-SUBJECT
3,участок,I-SUBJECT
4,об,O
4,отсутсвии,O
4,возможности,O
4,получать,O
4,сведения,O
4,из,O
4,ЕГРН,B-REGISTRY
4,на,O
4,сайте,O
4,Росреестра,B-ORGANIZATION
4,хотя,O
4,заявителем,B-SUBJECT
4,услуга,O
4,оплачена,O
5,не,O
5,может,O
5,зарегистрировать,O
5,договор,B-OBJECT
5,ипотеки,I-OBJECT
6,увеличение,O
6,кадастровой,O
6,стоимости,O
7,неправомерные,O
7,действия,O
7,Росреестра,B-ORGANIZATION
7,по,O
7,отказу,O
7,в,O
7,регистрации,O
7,договора,B-OBJECT
7,аренды,I-OBJECT
8,заявитель,B-SUBJECT
8,просит,O
8,разобраться,O
8,о,O
8,причине,O
8,отсутствия,O
8,объекта,O
8,недвижимости,B-SUBJECT
8,в,O
8,ЕГРН,B-REGISTRY
9,По,O
9,вопросу,O
9,препятствия,O
9,со,O
9,стороны,O
9,Департамента,B-ORGANIZATION
9,городского,I-ORGANIZATION
9,имущества,I-ORGANIZATION
9,г.Москвы,I-ORGANIZATION
9,в,O
9,развитии,O
9,предприятия,O
9,и,O
9,отказа,O
9,в,O
9,заключении,O
9,дополнительного,O
9,соглашения,O
9,к,O
9,договору,B-OBJECT
9,долгосрочной,I-OBJECT
9,аренды,I-OBJECT
9,земельного,B-SPARESUBJECT
9,участка,I-SPARESUBJECT
9,для,O
9,строительство,O
9,производственного,O
9,корпуса.,O
10,заявитель,B-SUBJECT
10,обратился,O
10,в,O
10,штаб,B-ORGANIZATION
10,с,O
10,жалобой,O
10,о,O
10,возникших,O
10,трудностях,O
10,связанных,O
10,с,O
10,внесением,O
10,изменений,O
10,в,O
10,раздел,O
10,ЕГРН,B-REGISTRY
10,наименование,B-OBJECT
10,объекта,I-SUBJECT
10,недвижимого,I-SUBJECT
10,имущества,I-SUBJECT
11,cогласно,O
11,данным,O
11,из,O
11,ЕГРН,B-REGISTRY
11,общество,B-SUBJECT
11,является,O
11,собственником,O
11,объекта,B-SUBJECT
11,недвижимого,I-SUBJECT
11,имущества,I-SUBJECT
11,сооружение,O
11,общей,O
11,площадью,O
11,208.2,B-SIZES
11,кв.м,I-SIZES
12,между,O
12,тем,O
12,в,O
12,разделе,O
12,ЕГРН,B-REGISTRY
12,наименование,O
12,содержится,O
12,информация,O
12,включающее,O
12,в,O
12,себя,O
12,в,O
12,том,O
12,числе,O
12,объекты,O
12,не,O
12,являющиеся,O
12,недвижимым,O
12,имуществом,O
12,автомойка,O
12,ручная,O
12,накопительная,O
12,площадка,O
12,и,O
12,т.д,O
13,таким,O
13,образом,O
13,площадь,O
13,сооружения,O
13,с,O
13,учетом,O
13,дополнительных,O
13,объектов,O
13,указанных,O
13,в,O
13,наименовании,O
13,составляет,O
13,1048.3,B-SIZES
13,кв.м,I-SIZES
14,в,O
14,этой,O
14,связи,O
14,ДГИ,B-ORGANIZATION
14,отказывает,O
14,в,O
14,заключении,O
14,договора,O
14,аренды,O
14,ссылаясь,O
14,на,O
14,несовпадение,O
14,площадей,O
15,Заявитель,B-SUBJECT
15,обратился,O
15,в,O
15,Штаб,B-ORGANIZATION
15,по,O
15,вопросу,O
15,незаконной,O
15,приостановки,O
15,регистрации,O
15,договоров,O
15,ипотеки,O
15,на,O
15,нежилые,O
15,помещения,O
15,расположенные,O
15,по,O
15,адресу,O
15,г.,B-ADDRESS
15,Москва,I-ADDRESS
15,Малый,I-ADDRESS
15,Могильцевский,I-ADDRESS
15,пер.,I-ADDRESS
15,д.,I-ADDRESS
15,2,I-ADDRESS
15,заключенные,O
15,между,O
15,Заявителем,B-SUBJECT
15,и,O
15,правообладателем,B-SUBJECT
15,объекта,O
16,содействие,O
16,в,O
16,регистрации,O
16,договора,B-OBJECT
16,аренды,I-OBJECT
16,приостановка,O
16,Росреестром,B-ORGANIZATION
17,Росреестр,B-ORGANIZATION
17,по,O
17,Москве,B-ADDRESS
17,долго,O
17,согласовывает,O
17,перепланировку,O
17,частичное,O
17,изменение,O
17,фасада,B-SUBJECT
18,Росреестр,B-ORGANIZATION
18,не,O
18,регистрирует,O
18,доогвор,B-OBJECT
18,аренды,I-OBJECT
18,со,O
18,ссылкой,O
18,на,O
18,неверно,O
18,заполненное,O
18,согласие,B-OBJECT
18,Сберабнка.,B-ORGANIZATION
18,Образец,O
18,согласия,B-OBJECT
18,не,O
18,предоставляет.,O
18,Просит,O
18,решить,O
18,проблему,O
19,по,O
19,итогам,O
19,совещания,O
19,в,O
19,штабе,B-ORGANIZATION
19,05.03.2020,B-DATE
19,переслали,O
19,документы,B-OBJECT
19,в,O
19,Росреестр,B-ORGANIZATION
19,Решения,B-OBJECT
19,от,O
19,Росреестра,B-ORGANIZATION
19,нет.,O
19,Как,O
19,решение,B-OBJECT
19,получить.,O
20,внести,O
20,измененеия,O
20,в,O
20,ПЗЗ,B-CODEX
20,и,O
20,из,O
20,гаража,O
20,передалеать,O
20,под,O
20,торговлю,O
21,исправление,O
21,технической,O
21,ошибки,O
21,в,O
21,данных,O
21,Росреестра,B-ORGANIZATION
