sentence_id,words,labels
1,заявитель,B-SUBJECT
1,обратился,O
1,в,O
1,штаб,B-ORGANIZATION
1,с,O
1,жалобой,O
1,о,O
1,возникших,O
1,трудностях,B-PROBLEM
1,связанных,I-PROBLEM
1,с,I-PROBLEM
1,внесением,I-PROBLEM
1,изменений,I-PROBLEM
1,в,I-PROBLEM
1,раздел,I-PROBLEM
1,ЕГРН,B-REGISTRY
1,наименование,B-OBJECT
1,объекта,I-SUBJECT
1,недвижимого,I-SUBJECT
1,имущества,I-SUBJECT
2,cогласно,O
2,данным,O
2,из,O
2,ЕГРН,B-REGISTRY
2,общество,B-SUBJECT
2,является,O
2,собственником,O
2,объекта,B-SUBJECT
2,недвижимого,I-SUBJECT
2,имущества,I-SUBJECT
2,сооружение,O
2,общей,O
2,площадью,O
2,208.2,B-SIZES
2,кв.м,I-SIZES
3,между,O
3,тем,O
3,в,O
3,разделе,O
3,ЕГРН,B-REGISTRY
3,наименование,O
3,содержится,O
3,информация,O
3,включающее,O
3,в,O
3,себя,O
3,в,O
3,том,O
3,числе,O
3,объекты,O
3,не,O
3,являющиеся,O
3,недвижимым,O
3,имуществом,
3,автомойка,O
3,ручная,O
3,накопительная,O
3,площадка,O
3,и,O
3,т.д,O
4,таким,O
4,образом,O
4,площадь,O
4,сооружения,O
4,с,O
4,учетом,O
4,дополнительных,O
4,объектов,O
4,указанных,O
4,в,O
4,наименовании,O
4,составляет,O
4,1048.3,B-SIZES
4,кв.м,I-SIZES
5,в,O
5,этой,O
5,связи,O
5,ДГИ,B-ORGANIZATION
5,отказывает,B-PROBLEM
5,в,I-PROBLEM
5,заключении,I-PROBLEM
5,договора,I-PROBLEM
5,аренды,I-PROBLEM
5,ссылаясь,I-PROBLEM
5,на,I-PROBLEM
5,несовпадение,I-PROBLEM
5,площадей,I-PROBLEM
6,Заявитель,B-SUBJECT
6,обратился,O
6,в,O
6,Штаб,B-ORGANIZATION
6,по,O
6,вопросу,O
6,незаконной,B-PROBLEM
6,приостановки,I-PROBLEM
6,регистрации,I-PROBLEM
6,договоров,I-PROBLEM
6,ипотеки,I-PROBLEM
6,на,I-PROBLEM
6,нежилые,I-PROBLEM
6,помещения,I-PROBLEM
6,расположенные,O
6,по,O
6,адресу,O
6,г.,B-ADDRESS
6,Москва,I-ADDRESS
6,Малый,I-ADDRESS
6,Могильцевский,I-ADDRESS
6,пер.,I-ADDRESS
6,д.,I-ADDRESS
6,2,I-ADDRESS
6,заключенные,O
6,между,O
6,Заявителем,B-SUBJECT
6,и,O
6,правообладателем,B-SUBJECT
6,объекта,I-ADDRESS
